Source IP,Destination IP,Protocol,Source Port,Destination Port,Flags,Packet Length
20.189.173.15,192.168.188.21,6,443,53711,A,54
192.168.188.21,192.168.188.8,17,53325,53,,92
192.168.188.8,192.168.188.21,17,53,53325,,257
192.168.188.21,20.189.173.15,6,53713,443,S,66
,,,,,,42
,,,,,,42
20.189.173.15,192.168.188.21,6,443,53713,SA,66
192.168.188.21,20.189.173.15,6,53713,443,A,54
192.168.188.21,20.189.173.15,6,53713,443,PA,571
192.168.188.21,20.189.173.15,6,53712,443,FA,54
192.168.188.21,20.189.173.15,6,53710,443,FA,54
192.168.188.21,192.168.188.8,17,65341,53,,96
192.168.188.21,192.168.188.8,17,53325,53,,96
20.189.173.15,192.168.188.21,6,443,53713,PA,153
20.189.173.15,192.168.188.21,6,443,53710,FA,54
20.189.173.15,192.168.188.21,6,443,53712,RA,54
192.168.188.21,20.189.173.15,6,53710,443,A,54
192.168.188.21,20.189.173.15,6,53713,443,PA,491
192.168.188.8,192.168.188.21,17,53,53325,,183
192.168.188.21,192.168.188.8,17,65341,53,,96
192.168.188.8,192.168.188.21,17,53,65341,,224
192.168.188.21,18.209.197.239,6,53714,443,S,66
20.189.173.15,192.168.188.21,6,443,53713,A,1334
20.189.173.15,192.168.188.21,6,443,53713,A,1334
20.189.173.15,192.168.188.21,6,443,53713,A,1334
20.189.173.15,192.168.188.21,6,443,53713,PA,746
18.209.197.239,192.168.188.21,6,443,53714,SA,66
192.168.188.21,20.189.173.15,6,53713,443,A,54
192.168.188.21,18.209.197.239,6,53714,443,A,54
192.168.188.21,18.209.197.239,6,53714,443,PA,416
192.168.188.21,20.189.173.15,6,53713,443,A,1354
192.168.188.21,20.189.173.15,6,53713,443,PA,666
18.209.197.239,192.168.188.21,6,443,53714,A,54
18.209.197.239,192.168.188.21,6,443,53714,A,1334
18.209.197.239,192.168.188.21,6,443,53714,A,1334
18.209.197.239,192.168.188.21,6,443,53714,A,1334
18.209.197.239,192.168.188.21,6,443,53714,A,1334
18.209.197.239,192.168.188.21,6,443,53714,PA,376
20.189.173.15,192.168.188.21,6,443,53713,A,54
20.189.173.15,192.168.188.21,6,443,53713,PA,157
20.189.173.15,192.168.188.21,6,443,53713,FPA,522
192.168.188.21,20.189.173.15,6,53713,443,A,54
192.168.188.21,20.189.173.15,6,53713,443,A,54
192.168.188.21,20.189.173.15,6,53713,443,PA,78
192.168.188.21,20.189.173.15,6,53713,443,FA,54
192.168.188.21,18.209.197.239,6,53714,443,PA,180
18.209.197.239,192.168.188.21,6,443,53714,A,54
20.189.173.15,192.168.188.21,6,443,53713,A,54
20.189.173.15,192.168.188.21,6,443,53713,A,54
18.209.197.239,192.168.188.21,6,443,53714,PA,258
192.168.188.21,18.209.197.239,6,53714,443,PA,249
18.209.197.239,192.168.188.21,6,443,53714,PA,108
192.168.188.21,18.209.197.239,6,53714,443,PA,841
18.209.197.239,192.168.188.21,6,443,53714,PA,608
192.168.188.21,18.209.197.239,6,53714,443,A,54
192.168.188.21,20.198.118.190,6,49410,443,PA,153
20.198.118.190,192.168.188.21,6,443,49410,PA,223
192.168.188.21,20.198.118.190,6,49410,443,A,54
192.168.188.21,192.168.188.8,6,53715,53,S,66
192.168.188.8,192.168.188.21,6,53,53715,SA,66
192.168.188.21,192.168.188.8,6,53715,53,A,54
192.168.188.21,192.168.188.8,6,53716,53,S,66
192.168.188.8,192.168.188.21,6,53,53716,SA,66
192.168.188.21,192.168.188.8,6,53716,53,A,54
192.168.188.21,192.168.188.8,6,53717,53,S,66
192.168.188.21,192.168.188.8,6,53715,53,PA,85
192.168.188.8,192.168.188.21,6,53,53717,SA,66
192.168.188.21,192.168.188.8,6,53716,53,PA,85
192.168.188.21,192.168.188.8,6,53717,53,A,54
192.168.188.21,192.168.188.8,6,53717,53,PA,85
192.168.188.8,192.168.188.21,6,53,53715,A,54
192.168.188.8,192.168.188.21,6,53,53716,A,54
192.168.188.8,192.168.188.21,6,53,53717,A,54
192.168.188.8,192.168.188.21,6,53,53716,PA,55
192.168.188.21,192.168.188.8,6,53716,53,A,54
192.168.188.8,192.168.188.21,6,53,53716,PA,116
192.168.188.21,192.168.188.8,6,53716,53,FA,54
192.168.188.8,192.168.188.21,6,53,53716,FA,54
192.168.188.21,192.168.188.8,6,53716,53,A,54
192.168.188.8,192.168.188.21,6,53,53715,PA,55
192.168.188.8,192.168.188.21,6,53,53717,PA,55
192.168.188.21,192.168.188.8,6,53715,53,A,54
192.168.188.21,192.168.188.8,6,53717,53,A,54
192.168.188.8,192.168.188.21,6,53,53715,PA,112
192.168.188.8,192.168.188.21,6,53,53717,PA,145
192.168.188.21,192.168.188.8,6,53715,53,FA,54
192.168.188.21,192.168.188.8,6,53717,53,FA,54
192.168.188.8,192.168.188.21,6,53,53715,FA,54
192.168.188.8,192.168.188.21,6,53,53717,FA,54
192.168.188.21,192.168.188.8,6,53715,53,A,54
192.168.188.21,192.168.188.8,6,53717,53,A,54
,,,53718,443,S,86
,,,53719,443,S,86
192.168.188.21,104.18.32.47,6,53720,443,S,66
23.22.123.151,192.168.188.21,6,443,53678,PA,85
23.22.123.151,192.168.188.21,6,443,53678,FA,54
192.168.188.21,23.22.123.151,6,53678,443,A,54
104.18.32.47,192.168.188.21,6,443,53720,SA,66
192.168.188.21,104.18.32.47,6,53720,443,A,54
192.168.188.21,104.18.32.47,6,53720,443,A,1354
